First_Name,Last_Name,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Editing_staff_id
Jael,Wallace,1-317-389-3446,Yes,Yes,No,Yes,Yes,Yes,Yes,42
Griffin,Maddox,(414) 260-6865,Yes,Yes,Yes,No,No,Yes,Yes,43
Nicholas,Wells,(288) 511-8537,No,No,Yes,Yes,Yes,No,No,44
Amos,Fry,1-759-126-4620,No,No,No,Yes,Yes,Yes,Yes,45
Kimberly,Simmons,1-519-174-4222,No,No,Yes,No,No,No,Yes,46
Keefe,Tran,1-541-732-8170,Yes,Yes,No,Yes,Yes,Yes,Yes,47
Piper,Levy,(851) 463-1937,No,Yes,No,No,Yes,Yes,No,48
MacKenzie,Wong,(673) 234-8151,Yes,Yes,Yes,Yes,No,Yes,Yes,49
Ezekiel,Copeland,(585) 621-8728,No,No,No,Yes,No,Yes,Yes,50
Nathan,Odom,1-298-322-6815,Yes,Yes,Yes,Yes,Yes,No,Yes,51
Kirk,Faulkner,1-185-811-5247,Yes,Yes,Yes,No,Yes,No,Yes,52
Joelle,Coffey,1-357-463-2684,Yes,Yes,No,No,Yes,Yes,Yes,53
Quin,Trevino,(879) 683-1163,Yes,Yes,No,Yes,Yes,Yes,Yes,54
Tana,Frazier,(254) 860-2536,Yes,Yes,No,No,No,No,Yes,55
Alexander,Howard,1-515-887-4380,Yes,No,Yes,Yes,No,Yes,Yes,56
Brian,Glass,1-870-687-5368,No,Yes,Yes,Yes,Yes,No,Yes,57
Noel,Gentry,(978) 574-3198,Yes,Yes,No,Yes,Yes,No,Yes,58
Marcia,Lancaster,(211) 286-7702,No,No,Yes,Yes,No,Yes,Yes,59
Sonia,Mclaughlin,(502) 849-7173,Yes,No,No,No,No,Yes,No,60
Joelle,Jones,(512) 616-6673,No,No,Yes,Yes,No,No,No,61
Brandon,Koch,1-482-362-0967,Yes,No,No,Yes,Yes,Yes,Yes,62
Odysseus,Stephenson,(666) 554-5232,Yes,Yes,No,No,Yes,Yes,No,63
Jackson,Holden,(337) 966-2561,Yes,Yes,Yes,No,No,No,Yes,64
Nathan,Griffith,1-812-118-5198,Yes,No,No,Yes,Yes,Yes,Yes,65
Rogan,Potter,1-818-795-5420,No,No,Yes,Yes,No,No,No,66
Emerald,Sullivan,(788) 691-5301,No,No,Yes,No,No,Yes,No,67
Doris,Bright,1-717-339-5537,Yes,Yes,Yes,Yes,Yes,Yes,No,68
Pandora,Rice,1-563-563-4915,Yes,No,No,No,Yes,No,No,69
Logan,Blankenship,1-814-396-4725,No,Yes,Yes,Yes,No,No,Yes,70
Teagan,Simmons,1-452-276-0044,Yes,No,Yes,No,Yes,Yes,Yes,71
Jenna,Everett,1-311-408-1222,Yes,Yes,No,Yes,Yes,No,No,72
Jesse,Hubbard,1-642-376-3396,No,Yes,No,Yes,Yes,Yes,No,73
Hamish,Day,(331) 134-2529,Yes,No,Yes,Yes,No,Yes,No,74
Eagan,Burton,(822) 294-2235,Yes,Yes,No,Yes,Yes,Yes,No,75
Armando,Fletcher,1-792-744-8246,Yes,Yes,No,No,Yes,Yes,No,76
Knox,Nguyen,(572) 826-2732,No,Yes,No,No,Yes,No,No,77
Graham,Stout,(745) 198-2544,No,No,No,Yes,Yes,No,No,78
Harriet,Casey,(244) 118-3785,No,No,Yes,Yes,Yes,Yes,Yes,79
Eagan,Holloway,(785) 585-3965,No,Yes,No,No,No,Yes,Yes,80
Kennedy,Ortiz,(713) 228-7372,Yes,No,Yes,No,Yes,Yes,No,81
Jerry,White,1-763-464-0733,No,Yes,No,No,No,No,No,82
Michelle,Henry,(583) 740-4328,No,No,Yes,Yes,Yes,No,Yes,83
MacKenzie,Cameron,(297) 365-4418,No,Yes,No,No,No,Yes,No,84
Fletcher,Gaines,(488) 358-9374,Yes,No,No,No,Yes,Yes,No,85
Adam,House,(287) 658-5745,No,Yes,No,Yes,Yes,Yes,Yes,86
Plato,Holder,(957) 622-6045,No,No,Yes,Yes,No,No,Yes,87
Vernon,Oneal,(716) 346-5202,No,Yes,No,Yes,Yes,No,Yes,88
Kylee,Norton,(127) 830-7573,Yes,No,Yes,Yes,Yes,Yes,Yes,89
Linda,Scott,1-662-823-0150,No,Yes,No,Yes,No,No,Yes,90
Deborah,Chen,1-432-167-6259,Yes,Yes,No,No,Yes,Yes,Yes,91
Autumn,Mejia,1-451-228-3407,Yes,No,Yes,No,No,No,Yes,92
Jameson,Chen,1-413-776-0130,Yes,No,Yes,Yes,Yes,No,No,93
Marvin,Newton,(434) 105-7335,No,No,Yes,No,Yes,No,Yes,94
Cooper,Rojas,(343) 626-3131,No,Yes,No,Yes,No,Yes,Yes,95
Lara,Hahn,(293) 111-3826,Yes,Yes,No,No,Yes,Yes,No,96
Keith,Bird,(273) 338-2477,Yes,No,Yes,No,Yes,No,No,97
Deanna,Mays,(649) 840-8315,Yes,Yes,Yes,Yes,No,No,Yes,98
Madaline,Foster,(554) 907-2101,Yes,No,No,Yes,Yes,No,Yes,99
Adrian,Hall,(932) 473-8812,No,No,Yes,No,Yes,Yes,Yes,100
